,TM-score,RMSD,Seq Identity,Alignment Length,E-value,Bit Score
TM-score,1.0,-0.4370743881595845,0.2848333313914562,-0.04747153598948199,-0.08937757817293188,0.41191499274532123
RMSD,-0.4370743881595845,1.0,-0.2632883918222784,0.5158678554773626,-0.29060924614660705,0.12968088759368238
Seq Identity,0.2848333313914562,-0.2632883918222784,1.0,-0.23386947026257818,0.11315926720209735,0.06682936926296462
Alignment Length,-0.04747153598948199,0.5158678554773626,-0.23386947026257818,1.0,-0.6227269504701081,0.637191324398226
E-value,-0.08937757817293188,-0.29060924614660705,0.11315926720209735,-0.6227269504701081,1.0,-0.5583317652448831
Bit Score,0.41191499274532123,0.12968088759368238,0.06682936926296462,0.637191324398226,-0.5583317652448831,1.0
