,TM-score,RMSD,Seq Identity,Alignment Length,E-value,Bit Score
TM-score,1.0,-0.7552324821476128,0.7039953768971545,0.586515059175202,-0.5671694258613131,0.6247529502523357
RMSD,-0.7552324821476128,1.0,-0.6330910938247472,-0.40824165286257313,0.44022574653753,-0.48452226877669174
Seq Identity,0.7039953768971545,-0.6330910938247472,1.0,0.8622202662955174,-0.7807799699736568,0.9210946203737296
Alignment Length,0.586515059175202,-0.40824165286257313,0.8622202662955174,1.0,-0.8800405982226371,0.9685606676615381
E-value,-0.5671694258613131,0.44022574653753,-0.7807799699736568,-0.8800405982226371,1.0,-0.8239042520993355
Bit Score,0.6247529502523357,-0.48452226877669174,0.9210946203737296,0.9685606676615381,-0.8239042520993355,1.0
